City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Xaltianguis,MX,17.0667,-99.8333,74.71,47,7,5.37,clear sky
290,Sterling,US,39.0062,-77.4286,37.54,75,100,1.01,overcast clouds
291,Tena,EC,-0.9833,-77.8167,80.76,50,98,3.15,overcast clouds
292,Tongren,CN,27.7172,109.1853,46.0,94,100,3.8,light rain
293,Mari,BR,-7.06,-35.3194,93.69,40,7,18.1,clear sky
294,Nuevitas,CU,21.5453,-77.2644,85.44,62,9,11.1,clear sky
295,Miramar,US,25.9873,-80.2323,81.01,68,100,10.36,overcast clouds
296,Maniitsoq,GL,65.4167,-52.9,14.86,79,100,10.8,overcast clouds
297,Tual,ID,-5.6667,132.75,81.66,80,100,16.4,overcast clouds
298,Okha,RU,53.5739,142.9478,-2.09,90,100,16.78,overcast clouds
299,Koindu,GN,8.4386,-10.3253,85.8,16,78,2.24,broken clouds
300,San Vicente,AR,-26.6167,-54.1333,91.33,33,43,1.45,light rain
301,Vestmanna,FO,62.1564,-7.1664,41.92,93,90,19.57,overcast clouds
302,Thinadhoo,MV,0.5333,72.9333,81.82,72,91,4.05,overcast clouds
303,Nata,PA,8.3333,-80.5167,89.47,45,7,15.9,clear sky
304,Pacific Grove,US,36.6177,-121.9166,63.81,68,0,5.01,clear sky
305,Solwezi,ZM,-12.1688,26.3894,62.2,96,77,4.21,light rain
306,Pangody,RU,65.85,74.4859,13.48,89,90,18.23,overcast clouds
307,Lorengau,PG,-2.0226,147.2712,80.47,73,100,8.03,overcast clouds
308,Roquetas De Mar,ES,36.7642,-2.6148,57.2,65,6,3.85,clear sky
309,Dakar,SN,14.6937,-17.4441,92.28,61,0,6.91,clear sky
310,Iqaluit,CA,63.7506,-68.5145,-20.31,68,20,1.99,few clouds
311,Pahrump,US,36.2083,-115.9839,54.05,42,0,1.99,clear sky
312,Necochea,AR,-38.5473,-58.7368,71.04,76,100,17.11,overcast clouds
313,Goundam,ML,16.4145,-3.6708,74.61,12,4,10.94,clear sky
314,Atar,MR,20.5169,-13.0499,85.21,10,92,11.52,overcast clouds
315,Gizycko,PL,54.0381,21.7644,28.63,94,68,17.78,light snow
316,Estelle,US,29.8458,-90.1067,48.25,86,100,5.99,overcast clouds
317,Tabou,CI,4.423,-7.3528,81.55,68,53,6.93,broken clouds
318,Apex,US,35.7327,-78.8503,49.41,88,90,0.0,light rain
319,Gamba,GA,-2.65,10.0,77.31,84,90,5.1,overcast clouds
320,Balad,IQ,34.0164,44.1453,43.43,29,33,12.15,scattered clouds
321,Omboue,GA,-1.5746,9.2618,77.38,85,90,5.57,light rain
322,Kavaratti,IN,10.5669,72.642,80.67,71,70,11.41,broken clouds
323,Kalat,PK,29.0225,66.5916,42.66,81,1,5.3,clear sky
324,Jumla,NP,29.2747,82.1838,32.83,95,94,2.1,light snow
325,Sao Filipe,CV,14.8961,-24.4956,73.36,79,91,6.29,overcast clouds
326,Port Hedland,AU,-20.3167,118.5667,86.05,79,75,8.05,broken clouds
327,Maneadero,MX,31.7167,-116.5667,62.1,63,0,1.99,clear sky
328,Uong Bi,VN,21.0333,106.7833,62.58,76,100,2.44,overcast clouds
329,Codrington,AU,-38.2667,141.9667,57.63,81,2,7.7,clear sky
330,Srbac,BA,45.0978,17.525,38.26,98,95,0.6,light rain
331,Rocky Mountain House,CA,52.3668,-114.9188,38.95,86,100,4.61,overcast clouds
332,Sechura,PE,-5.5569,-80.8222,84.27,50,12,13.6,few clouds
333,Camacha,PT,33.0833,-16.3333,63.36,72,20,25.32,few clouds
334,Whitehorse,CA,60.7161,-135.0538,15.1,85,75,5.01,light snow
335,Hasaki,JP,35.7333,140.8333,32.4,45,0,23.6,clear sky
336,Vanimo,PG,-2.6741,141.3028,76.5,90,92,4.81,overcast clouds
337,Meulaboh,ID,4.1363,96.1285,76.26,86,44,3.2,scattered clouds
338,Grindavik,IS,63.8424,-22.4338,45.07,100,100,25.32,light intensity drizzle
339,Zhangye,CN,38.9342,100.4517,24.98,38,93,3.36,overcast clouds
340,Canyon,US,34.9803,-101.9188,20.52,75,99,2.06,overcast clouds
341,Smolenka,RU,52.1352,113.4974,-2.06,84,93,2.24,overcast clouds
342,Tuatapere,NZ,-46.1333,167.6833,54.82,88,100,9.66,overcast clouds
343,Asmara,ER,15.3333,38.9333,48.72,89,70,5.95,broken clouds
344,Pithora,IN,21.2667,82.5167,62.74,38,0,3.09,clear sky
345,Flinders,AU,-34.5833,150.8552,64.18,85,100,1.99,overcast clouds
