City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Alyangula,AU,2022-01-19 06:04:47,-13.8483,136.4192,88.07,64,100,13.47
266,General Roca,AR,2022-01-19 06:04:47,-39.0333,-67.5833,58.06,78,100,9.28
267,Tunceli,TR,2022-01-19 06:04:48,39.1083,39.5471,27.46,95,100,4.43
268,Pilar,BR,2022-01-19 06:04:48,-9.5972,-35.9567,75.13,85,1,3.09
269,Gazanjyk,TM,2022-01-19 06:04:49,39.2446,55.5154,39.45,71,6,16.15
270,Katsuura,JP,2022-01-19 06:04:49,35.1333,140.3,48.18,43,90,6.31
271,San Carlos De Bariloche,AR,2022-01-19 06:00:47,-41.1456,-71.3082,51.44,77,100,4.61
272,Iisalmi,FI,2022-01-19 06:04:50,63.5592,27.1907,33.82,96,100,9.04
273,Pacific Grove,US,2022-01-19 06:03:10,36.6177,-121.9166,53.71,87,100,1.01
274,Oussouye,SN,2022-01-19 06:04:51,12.485,-16.5469,71.31,33,8,6.6
275,Moussoro,TD,2022-01-19 06:05:51,13.6408,16.4901,53.37,33,8,12.41
276,Northam,GB,2022-01-19 06:05:52,51.0333,-4.2167,47.55,89,74,9.98
277,Correntina,BR,2022-01-19 06:05:52,-13.3433,-44.6367,64.33,77,2,1.97
278,Bethel,US,2022-01-19 06:05:49,41.3712,-73.414,26.19,77,0,0.0
279,Ibia,BR,2022-01-19 06:05:53,-19.4783,-46.5389,64.9,89,94,2.28
280,Sevsk,RU,2022-01-19 06:05:53,52.1491,34.4926,1.63,99,77,6.91
281,Georgetown,MY,2022-01-19 06:05:54,5.4112,100.3354,89.53,65,20,1.99
282,Yerbogachen,RU,2022-01-19 06:05:54,61.2767,108.0108,4.46,95,87,5.79
283,Los Llanos De Aridane,ES,2022-01-19 06:05:55,28.6585,-17.9182,64.15,49,0,8.01
284,Zunheboto,IN,2022-01-19 06:05:55,25.9667,94.5167,64.65,32,83,2.66
285,Vao,NC,2022-01-19 06:05:56,-22.6667,167.4833,78.55,74,77,15.61
286,Jalu,LY,2022-01-19 06:05:56,29.0331,21.5482,49.8,91,2,7.96
287,Niort,FR,2022-01-19 06:05:57,46.3333,-0.3333,40.19,93,80,1.01
288,Cherskiy,RU,2022-01-19 06:05:57,68.75,161.3,-48.48,100,68,3.89
289,Luanda,AO,2022-01-19 06:05:58,-8.8368,13.2343,73.4,83,20,6.91
290,Itoman,JP,2022-01-19 06:05:58,26.1247,127.6694,62.98,55,75,14.97
291,Ibra,OM,2022-01-19 06:05:59,22.6906,58.5334,74.84,55,28,3.89
292,Rawson,AR,2022-01-19 06:01:12,-43.3002,-65.1023,59.27,60,69,10.89
