City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Siguiri,GN,86.7,clear sky,11.6667,-9.5,
469,Bahia Blanca,AR,73.69,overcast clouds,-38.7196,-62.2724,Hotel Argos
471,Ballitoville,ZA,76.24,clear sky,-29.539,31.2144,Hampshire Hotel-Ballito
472,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
475,Wukari,NG,80.76,few clouds,7.85,9.7833,Elimtop
482,Sinnamary,GF,82.18,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
484,Chicama,PE,72.14,clear sky,-7.8447,-79.1469,Balihai Bungalows
487,Tadine,NC,78.35,light rain,-21.55,167.8833,
489,Fougamou,GA,75.83,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
491,Calabar,NG,81.86,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
496,Namibe,AO,72.81,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
497,Tiarei,PF,80.62,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
500,Lubao,PH,78.82,broken clouds,14.9167,120.55,Hacienda Gracia
513,Sola,VU,83.1,overcast clouds,-13.8833,167.55,Leumerus Bungalows
517,Mobaye,CF,80.55,scattered clouds,4.319,21.1786,
524,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
527,Taoudenni,ML,70.61,clear sky,22.6783,-3.9836,
528,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
536,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
538,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
540,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
543,Iralaya,HN,75.29,clear sky,15.0,-83.2333,Iglesia morava renovada
544,Luwuk,ID,77.61,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
547,Chimbote,PE,77.54,few clouds,-9.0853,-78.5783,Hotel Viera Chimbote
551,Cururupu,BR,86.63,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
555,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
558,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
559,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
561,Chabahar,IR,74.16,clear sky,25.2919,60.643,هتل گدروشیا
564,Halacho,MX,84.02,clear sky,20.4833,-90.0833,Posada Villa Bella
568,Islamkot,PK,73.4,clear sky,24.6997,70.177,Haji Hotel
569,Duque De Caxias,BR,89.74,scattered clouds,-22.7856,-43.3117,Mont Blanc Apart Hotel
570,Ambilobe,MG,73.54,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
571,Impfondo,CG,82.09,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
572,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
574,Hervey Bay,AU,76.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
580,Panaba,MX,86.13,clear sky,21.2833,-88.2667,Hotel California
584,Garoua,CM,84.6,clear sky,9.3,13.4,Dreamland Hotel Annexe Bockle
591,Union Hidalgo,MX,87.67,few clouds,16.4723,-94.8295,"Posada "" Esquipulas"""
597,Dinguiraye,GN,85.24,scattered clouds,11.3,-10.7167,
598,Biak,ID,76.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
602,Badlapur,IN,75.0,clear sky,19.15,73.2667,Rainy Resort and Water Park
603,Sur,OM,73.6,clear sky,22.5667,59.5289,Sur Plaza Hotel
604,Broken Hill,AU,73.11,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
605,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
610,Rameswaram,IN,79.03,broken clouds,9.2833,79.3,Daiwik Hotels Rameswaram
615,Tubmanburg,LR,84.81,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
618,Barwani,IN,71.08,clear sky,22.0333,74.9,Shree Mahalaxmi Guest House
624,Takoradi,GH,81.9,scattered clouds,4.8845,-1.7554,Raybow International Hotel
625,Maragogi,BR,84.13,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
629,Porteirinha,BR,84.34,few clouds,-15.7433,-43.0283,Portal Palace Hotel
630,Massaguet,TD,77.04,broken clouds,12.4755,15.4365,Alwatane
632,Merritt Island,US,79.09,clear sky,28.5392,-80.672,
635,Santa Vitoria Do Palmar,BR,83.12,scattered clouds,-33.5189,-53.3681,Hostel Comodoro
641,Ontario,US,71.28,clear sky,34.0633,-117.6509,American Inn
645,La Asuncion,VE,80.29,clear sky,11.0333,-63.8628,Colinas de Matasiete
646,Mitsamiouli,KM,82.69,broken clouds,-11.3847,43.2844,Foyer ADM
647,Padang,ID,76.59,overcast clouds,-0.9492,100.3543,Mercure Padang
649,Alyangula,AU,78.67,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
652,Ko Samui,TH,80.8,clear sky,9.5357,99.9357,The Passage
653,Victor Harbor,AU,80.8,clear sky,-35.5667,138.6167,McCracken Country Club
655,San Rafael,AR,84.74,clear sky,-34.6177,-68.3301,Hotel San Rafael
656,Valdez,EC,80.01,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
658,Merauke,ID,77.54,overcast clouds,-8.4667,140.3333,
660,Alta Gracia,AR,82.53,overcast clouds,-31.6529,-64.4283,Hotel Ritz
663,Ndende,GA,74.82,moderate rain,-2.4008,11.3581,
664,Humberto De Campos,BR,87.4,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
665,Tres Arroyos,AR,76.84,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
667,Dunmore Town,BS,74.95,clear sky,25.5,-76.65,Coral Sands Hotel
668,Knysna,ZA,70.18,few clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
674,Benguela,AO,76.46,broken clouds,-12.5763,13.4055,Hotel Praia Morena
677,Atambua,ID,72.91,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
680,Harper,LR,81.82,few clouds,4.375,-7.7169,Screensaver
681,Rondonopolis,BR,87.73,overcast clouds,-16.4708,-54.6356,Serras Hotel
682,Mitu,CO,76.6,overcast clouds,1.1983,-70.1733,
683,Maldonado,UY,78.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
685,Kandrian,PG,76.91,light rain,-6.2167,149.55,Kandrian Station
687,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
688,Oum Hadjer,TD,71.92,scattered clouds,13.2954,19.6966,
690,Luanda,AO,80.6,few clouds,-8.8368,13.2343,Hotel Fórum
691,Dhidhdhoo,MV,81.27,scattered clouds,6.8833,73.1,Dhidhoo beach
693,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
696,Micheweni,TZ,81.9,overcast clouds,-4.9667,39.8333,
